SEVERITY	CODE	PDB_ID	DETAIL
ERROR	MISSING_SPLIT	10ZU	splits=[]
ERROR	MISSING_SPLIT	11AG	splits=[]
ERROR	MISSING_SPLIT	11EH	splits=[]
ERROR	OVER_MAX_LENGTH	1C2W	chain=B; length=2904; max=1022
ERROR	NON_ACGU_SEQUENCE	1G2J	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	1H0Q	chain=A; symbols=N
ERROR	OVER_MAX_LENGTH	1NJN	chain=0; length=2880; max=1022
ERROR	OVER_MAX_LENGTH	1NJO	chain=0; length=2880; max=1022
ERROR	OVER_MAX_LENGTH	1P9X	chain=0; length=2880; max=1022
ERROR	NON_ACGU_SEQUENCE	1SAQ	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	1SAQ	chain=B; symbols=I
ERROR	NON_ACGU_SEQUENCE	1SAQ	chain=C; symbols=I
ERROR	NON_ACGU_SEQUENCE	1SAQ	chain=D; symbols=I
ERROR	NON_ACGU_SEQUENCE	1SAQ	chain=E; symbols=I
ERROR	OVER_MAX_LENGTH	1Z58	chain=2; length=2880; max=1022
ERROR	NON_ACGU_SEQUENCE	1ZFT	chain=B; symbols=I
ERROR	MISSING_SPLIT	21CC	splits=[]
ERROR	MISSING_SPLIT	21ET	splits=[]
ERROR	NON_ACGU_SEQUENCE	21ET	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	21ET	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	21ET	chain=C; symbols=X
ERROR	NON_ACGU_SEQUENCE	21ET	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	21ET	chain=E; symbols=X
ERROR	NON_ACGU_SEQUENCE	21ET	chain=F; symbols=X
ERROR	MISSING_SPLIT	23JZ	splits=[]
ERROR	MISSING_SPLIT	25SM	splits=[]
ERROR	NON_ACGU_SEQUENCE	25SM	chain=S; symbols=X
ERROR	NON_ACGU_SEQUENCE	25SM	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2BCZ	chain=B; symbols=I
ERROR	NON_ACGU_SEQUENCE	2D2L	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	2G92	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	2G92	chain=B; symbols=N
ERROR	NON_ACGU_SEQUENCE	2GBH	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2GCS	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=B; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=C; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=D; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=E; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=F; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=G; symbols=I
ERROR	NON_ACGU_SEQUENCE	2GRB	chain=H; symbols=I
ERROR	NON_ACGU_SEQUENCE	2H0X	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2JJA	chain=A; symbols=NX
ERROR	NON_ACGU_SEQUENCE	2JRG	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	2JRQ	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	2KRQ	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	2KRV	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	2KRY	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2KWG	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2KWG	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	2LVY	chain=A; symbols=TX
ERROR	NON_ACGU_SEQUENCE	2LVY	chain=B; symbols=T
ERROR	NON_ACGU_SEQUENCE	2M39	chain=A; symbols=TX
ERROR	NON_ACGU_SEQUENCE	2M39	chain=B; symbols=TX
ERROR	NON_ACGU_SEQUENCE	2N4J	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	2N4J	chain=B; symbols=X
ERROR	OVER_MAX_LENGTH	2O43	chain=A; length=2880; max=1022
ERROR	OVER_MAX_LENGTH	2O44	chain=A; length=2880; max=1022
ERROR	OVER_MAX_LENGTH	2O45	chain=A; length=2880; max=1022
ERROR	NON_ACGU_SEQUENCE	2Q1O	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	2Q1O	chain=B; symbols=N
ERROR	NON_ACGU_SEQUENCE	2Q1O	chain=C; symbols=N
ERROR	NON_ACGU_SEQUENCE	2Q1O	chain=D; symbols=N
ERROR	NON_ACGU_SEQUENCE	2X2Q	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	2X2Q	chain=C; symbols=N
ERROR	NON_ACGU_SEQUENCE	2XC6	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	30SC	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	333D	chain=A; symbols=I
ERROR	MISSING_SPLIT	36LC	splits=[]
ERROR	NON_ACGU_SEQUENCE	36LC	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	36LC	chain=B; symbols=N
ERROR	MISSING_SPLIT	36LE	splits=[]
ERROR	NON_ACGU_SEQUENCE	36LE	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	36LE	chain=B; symbols=N
ERROR	NON_ACGU_SEQUENCE	36LE	chain=C; symbols=N
ERROR	NON_ACGU_SEQUENCE	36LE	chain=D; symbols=N
ERROR	MISSING_SPLIT	36LM	splits=[]
ERROR	NON_ACGU_SEQUENCE	36LM	chain=A; symbols=N
ERROR	NON_ACGU_SEQUENCE	36LM	chain=B; symbols=N
ERROR	NON_ACGU_SEQUENCE	3B58	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3B5A	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3B5F	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3B5S	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3B91	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3BBI	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3BBK	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3BBM	chain=B; symbols=X
ERROR	OVER_MAX_LENGTH	3DG0	chain=A; length=1542; max=1022
ERROR	OVER_MAX_LENGTH	3DG0	chain=B; length=2904; max=1022
ERROR	OVER_MAX_LENGTH	3DG2	chain=A; length=1542; max=1022
ERROR	OVER_MAX_LENGTH	3DG2	chain=B; length=2904; max=1022
ERROR	OVER_MAX_LENGTH	3DG4	chain=A; length=1542; max=1022
ERROR	OVER_MAX_LENGTH	3DG4	chain=B; length=2904; max=1022
ERROR	OVER_MAX_LENGTH	3DG5	chain=A; length=1542; max=1022
ERROR	OVER_MAX_LENGTH	3DG5	chain=B; length=2904; max=1022
ERROR	OVER_MAX_LENGTH	3FWO	chain=A; length=2880; max=1022
ERROR	NON_ACGU_SEQUENCE	3IVN	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3IVN	chain=B; symbols=X
ERROR	OVER_MAX_LENGTH	3J28	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J29	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2A	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2B	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2D	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2E	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2F	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2G	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3J2H	chain=N; length=1533; max=1022
ERROR	OVER_MAX_LENGTH	3JQ4	chain=A; length=2880; max=1022
ERROR	NON_ACGU_SEQUENCE	3JXQ	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXQ	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXQ	chain=K; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXQ	chain=L; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXR	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXR	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3JXR	chain=K; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=C; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=E; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4A	chain=F; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=C; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=E; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4B	chain=F; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4C	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4C	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4D	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3P4D	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1D	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1D	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1D	chain=C; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1D	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1D	chain=E; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1E	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3R1E	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=B; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=C; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=D; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=E; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=F; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S49	chain=G; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S7C	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	3S8U	chain=A; symbols=X
ERROR	NON_ACGU_SEQUENCE	409D	chain=A; symbols=I
ERROR	NON_ACGU_SEQUENCE	409D	chain=B; symbols=I
