SEVERITY	CODE	PDB_ID	DETAIL
WARNING	OVER_MAX_LENGTH	1C2W	chain=B; length=2904; max=1022
WARNING	NON_ACGU_SEQUENCE	1G2J	chain=A; symbols=N
WARNING	NON_ACGU_SEQUENCE	1H0Q	chain=A; symbols=N
WARNING	OVER_MAX_LENGTH	1NJN	chain=0; length=2880; max=1022
WARNING	OVER_MAX_LENGTH	1NJO	chain=0; length=2880; max=1022
WARNING	OVER_MAX_LENGTH	1P9X	chain=0; length=2880; max=1022
WARNING	NON_ACGU_SEQUENCE	1SAQ	chain=A; symbols=I
WARNING	NON_ACGU_SEQUENCE	1SAQ	chain=B; symbols=I
WARNING	NON_ACGU_SEQUENCE	1SAQ	chain=C; symbols=I
WARNING	NON_ACGU_SEQUENCE	1SAQ	chain=D; symbols=I
WARNING	NON_ACGU_SEQUENCE	1SAQ	chain=E; symbols=I
WARNING	OVER_MAX_LENGTH	1Z58	chain=2; length=2880; max=1022
WARNING	NON_ACGU_SEQUENCE	1ZFT	chain=B; symbols=I
WARNING	NON_ACGU_SEQUENCE	21ET	chain=A; symbols=X
WARNING	NON_ACGU_SEQUENCE	21ET	chain=B; symbols=X
WARNING	NON_ACGU_SEQUENCE	21ET	chain=C; symbols=X
WARNING	NON_ACGU_SEQUENCE	21ET	chain=D; symbols=X
WARNING	NON_ACGU_SEQUENCE	21ET	chain=E; symbols=X
WARNING	NON_ACGU_SEQUENCE	21ET	chain=F; symbols=X
WARNING	NON_ACGU_SEQUENCE	25SM	chain=S; symbols=X
WARNING	NON_ACGU_SEQUENCE	25SM	chain=A; symbols=X
WARNING	NON_ACGU_SEQUENCE	2BCZ	chain=B; symbols=I
WARNING	NON_ACGU_SEQUENCE	2D2L	chain=D; symbols=X
WARNING	NON_ACGU_SEQUENCE	2G92	chain=A; symbols=N
WARNING	NON_ACGU_SEQUENCE	2G92	chain=B; symbols=N
WARNING	NON_ACGU_SEQUENCE	2GBH	chain=A; symbols=X
WARNING	NON_ACGU_SEQUENCE	2GCS	chain=A; symbols=X
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=A; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=B; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=C; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=D; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=E; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=F; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=G; symbols=I
WARNING	NON_ACGU_SEQUENCE	2GRB	chain=H; symbols=I
WARNING	NON_ACGU_SEQUENCE	2H0X	chain=A; symbols=X
WARNING	NON_ACGU_SEQUENCE	2JJA	chain=A; symbols=NX
WARNING	NON_ACGU_SEQUENCE	2JRG	chain=A; symbols=N
WARNING	NON_ACGU_SEQUENCE	2JRQ	chain=A; symbols=N
